CONUS_10KM,LONG,LAT
79825,-101.72291938,40.8893736267
79826,-101.603473291,40.8946919577
79827,-101.484009475,40.8998982586
79828,-101.364528305,40.9049925025
79829,-101.245030155,40.9099746642
79830,-101.1255154,40.9148447191
79831,-101.005984413,40.9196026432
79832,-100.886437571,40.9242484119
79833,-100.766875249,40.9287820022
79834,-100.647297821,40.9332033915
79835,-100.527705665,40.9375125578
79836,-100.408099155,40.9417094791
79837,-100.288478669,40.9457941348
79838,-100.168844583,40.9497665039
79839,-100.049197273,40.9536265669
79840,-99.9295371178,40.9573743041
79841,-99.8098644941,40.9610096971
79842,-99.6901797795,40.964532727
79843,-99.5704833522,40.9679433766
79844,-99.45077559,40.9712416287
79845,-99.3310568713,40.9744274665
79846,-99.2113275746,40.9775008743
79847,-99.0915880791,40.9804618362
79848,-98.9718387633,40.9833103373
79849,-98.8520800055,40.986046364
79850,-98.7323121866,40.9886699015
79851,-98.6125356852,40.9911809373
79852,-98.4927508807,40.9935794586
79853,-98.3729581534,40.9958654533
79854,-98.253157883,40.9980389096
79855,-98.1333504496,41.000099817
79856,-98.0135362334,41.0020481647
79857,-97.893715615,41.003883943
79858,-97.7738889744,41.0056071428
79859,-97.6540566926,41.007217755
79860,-97.5342191494,41.008715772
79861,-97.4143767267,41.010101186
79862,-97.2945298052,41.01137399
79863,-97.174678766,41.0125341775
79864,-97.0548239894,41.013581743
79865,-96.9349658576,41.0145166806
79866,-96.8151047508,41.015338986
79867,-96.6952410507,41.016048655
79868,-96.5753751385,41.016645684
79869,-96.4555073953,41.0171300697
79870,-96.3356382029,41.0175018098
79871,-96.2157679423,41.0177609031
79872,-96.0958969953,41.0179073476
79873,-95.9760257432,41.0179411422
79874,-95.8561545672,41.0178622875
80284,-102.208327727,40.9560905634
80285,-102.088806777,40.9618644043
80286,-101.969266536,40.9675261774
80287,-101.849707378,40.9730758546
80288,-101.730129675,40.9785134083
80289,-101.610533804,40.9838388109
80290,-101.490920138,40.989052036
80291,-101.371289052,40.9941530573
80292,-101.251640923,40.9991418487
80293,-101.131976125,41.004018386
80294,-101.012295036,41.0087826441
80295,-100.89259803,41.0134345998
80296,-100.772885486,41.0179742289
80297,-100.653157779,41.0224015089
80298,-100.533415288,41.0267164173
80299,-100.413658389,41.0309189325
80300,-100.293887461,41.0350090336
80301,-100.174102881,41.0389866997
80302,-100.054305028,41.0428519104
80303,-99.9344942811,41.0466046472
80304,-99.8146710182,41.0502448903
80305,-99.6948356188,41.0537726214
80306,-99.5749884622,41.0571878232
80307,-99.4551299276,41.0604904783
80308,-99.3352603953,41.0636805696
80309,-99.2153802449,41.066758081
80310,-99.0954898565,41.0697229976
80311,-98.9755896108,41.0725753036
80312,-98.8556798882,41.0753149853
80313,-98.7357610692,41.077942028
80314,-98.6158335348,41.0804564194
80315,-98.4958976662,41.0828581461
80316,-98.3759538451,41.0851471964
80317,-98.2560024521,41.087323558
80318,-98.1360438687,41.0893872206
80319,-98.016078477,41.0913381735
80320,-97.8961066583,41.0931764064
80321,-97.7761287954,41.0949019104
80322,-97.6561452692,41.0965146768
80323,-97.5361564621,41.0980146977
80324,-97.4161627565,41.0994019648
80325,-97.2961645356,41.1006764712
80326,-97.1761621807,41.101838211
80327,-97.0561560752,41.1028871779
80328,-96.9361466009,41.1038233663
80329,-96.8161341407,41.1046467719
80330,-96.6961190774,41.1053573906
80331,-96.5761017932,41.1059552182
80332,-96.4560826717,41.1064402522
80333,-96.3360620952,41.1068124899
80334,-96.2160404468,41.1070719298
80335,-96.0960181092,41.10721857
80336,-95.9759954649,41.10725241
80337,-95.8559728972,41.1071734499
80734,-103.76994471,40.9598489861
80735,-103.65055958,40.967086468
80736,-103.531150245,40.9742121556
80737,-103.411717075,40.9812260131
80738,-103.29226044,40.9881280057
80739,-103.172780712,40.9949180985
80740,-103.05327826,41.001596258
80741,-102.933753458,41.0081624507
80742,-102.814206675,41.0146166434
80743,-102.694638286,41.0209588043
80744,-102.575048663,41.0271889011
80745,-102.455438179,41.0333069028
80746,-102.335807207,41.0393127785
80747,-102.216156122,41.0452064983
80748,-102.096485297,41.0509880326
80749,-101.976795109,41.0566573523
80750,-101.857085931,41.0622144287
80751,-101.73735814,41.0676592339
80752,-101.617612111,41.0729917405
80753,-101.49784822,41.078211922
80754,-101.378066844,41.0833197515
80755,-101.258268359,41.0883152034
80756,-101.138453144,41.0931982526
80757,-101.018621574,41.0979688746
80758,-100.898774029,41.1026270449
80759,-100.778910885,41.1071727405
80760,-100.659032522,41.1116059383
80761,-100.539139318,41.1159266155
80762,-100.419231653,41.1201347504
80763,-100.299309904,41.1242303219
80764,-100.179374453,41.1282133092
80765,-100.059425678,41.1320836919
80766,-99.9394639598,41.1358414507
80767,-99.8194896788,41.1394865666
80768,-99.699503215,41.1430190207
80769,-99.5795049494,41.1464387956
80770,-99.4594952631,41.1497458738
80771,-99.339474537,41.152940238
80772,-99.2194431527,41.1560218725
80773,-99.0994014918,41.1589907615
80774,-98.9793499353,41.1618468902
80775,-98.8592888666,41.1645902437
80776,-98.739218667,41.167220808
80777,-98.6191397192,41.1697385702
80778,-98.4990524054,41.1721435173
80779,-98.3789571082,41.1744356369
80780,-98.2588542108,41.1766149175
80781,-98.1387440961,41.1786813481
80782,-98.0186271469,41.1806349175
80783,-97.8985037466,41.182475617
80784,-97.7783742785,41.184203436
80785,-97.6582391265,41.1858183662
80786,-97.5380986729,41.1873204
80787,-97.4179533022,41.1887095286
80788,-97.2978033994,41.1899857455
80789,-97.1776493472,41.1911490447
80790,-97.0574915295,41.1921994193
80791,-96.9373303303,41.1931368644
80792,-96.817166134,41.1939613752
80793,-96.6969993247,41.1946729478
80794,-96.5768302862,41.1952715781
80795,-96.4566594031,41.1957572634
80796,-96.3364870599,41.1961300008
80797,-96.2163136403,41.1963897891
80798,-96.0961395288,41.1965366261
80799,-95.9759651098,41.1965705115
80800,-95.8557907676,41.1964914454
81195,-104.018733014,41.0340273217
81196,-103.899248418,41.0414982075
81197,-103.779738784,41.0488572269
81198,-103.660204483,41.0561043427
81199,-103.540645886,41.0632395188
81200,-103.421063365,41.0702627192
81201,-103.30145729,41.0771739088
81202,-103.181828034,41.083973053
81203,-103.06217597,41.0906601176
81204,-102.94250147,41.0972350689
81205,-102.822804907,41.1036978737
81206,-102.703086656,41.1100484999
81207,-102.583347091,41.1162869151
81208,-102.463586585,41.1224130882
81209,-102.343805515,41.1284269881
81210,-102.224004255,41.1343285846
81211,-102.104183181,41.1401178478
81212,-101.984342671,41.1457947486
81213,-101.864483099,41.1513592582
81214,-101.744604842,41.1568113485
81215,-101.62470828,41.1621509919
81216,-101.504793787,41.1673781613
81217,-101.384861744,41.1724928306
81218,-101.264912527,41.1774949732
81219,-101.144946516,41.1823845644
81220,-101.024964088,41.1871615793
81221,-100.904965624,41.1918259934
81222,-100.784951504,41.1963777834
81223,-100.664922106,41.200816926
81224,-100.544877811,41.2051433987
81225,-100.424818999,41.2093571792
