SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
WRB_R1,WRB_R1_SE_BAT_006,2015-06-30,MYCI,2.0,0.9259069
WRB_R1,WRB_R1_SE_BAT_006,2015-06-30,MYLU,5.0,0.9743571
WRB_R1,WRB_R1_SE_BAT_006,2015-06-30,MYSE,0.0,1.0
WRB_R1,WRB_R1_SE_BAT_006,2015-06-30,MYTH,0.0,1.0
WRB_R1,WRB_R1_SE_BAT_006,2015-06-30,MYVO,13.0,2e-7
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,EPFU,11.0,0.0086043
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,LABO,19.0,0.0
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,LACI,10.0,0.0
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,LANO,16.0,0.002411
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,MYCI,3.0,0.6044968
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,MYLU,6.0,0.459865
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,MYSE,0.0,1.0
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,MYTH,0.0,1.0
WRB_R1,WRB_R1_SE_BAT_006,2015-07-01,MYVO,13.0,6e-7
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,EPFU,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,LABO,11.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,LACI,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,LANO,1.0,0.3606292
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,MYCI,6.0,7.093e-4
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,MYLU,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,MYSE,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,MYTH,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-26,MYVO,5.0,0.0061106
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,EPFU,6.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,LABO,8.0,1.89e-5
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,LACI,3.0,0.0328527
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,LANO,43.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,MYCI,7.0,0.1034287
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,MYLU,2.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,MYSE,2.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,MYTH,1.0,0.9974083
WRB_R1,WRB_R1_SW_BAT_002,2015-06-27,MYVO,23.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,EPFU,10.0,0.9189025
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,LABO,6.0,0.0089971
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,LACI,10.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,LANO,52.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,MYCI,24.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,MYLU,7.0,0.8544794
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,MYSE,2.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,MYTH,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-28,MYVO,26.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,EPFU,1.0,0.2409055
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,LABO,1.0,0.3615341
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,LACI,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,LANO,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,MYCI,3.0,0.119648
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,MYLU,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,MYSE,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,MYTH,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-29,MYVO,6.0,3.062e-4
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,EPFU,35.0,0.0074015
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,LABO,13.0,3.4e-6
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,LACI,19.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,LANO,111.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,MYCI,25.0,2.4e-6
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,MYLU,4.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,MYSE,3.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,MYTH,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-06-30,MYVO,61.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,EPFU,3.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,LABO,0.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,LACI,3.0,0.009711
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,LANO,28.0,0.0
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,MYCI,10.0,0.0014297
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,MYLU,3.0,1.0
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,MYSE,4.0,0.3799308
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,MYTH,1.0,0.8831202
WRB_R1,WRB_R1_SW_BAT_002,2015-07-01,MYVO,18.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,EPFU,5.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,LABO,2.0,0.8554696
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,LACI,60.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,LANO,50.0,1e-7
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,MYCI,47.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,MYLU,9.0,0.739467
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,MYSE,5.0,0.4533228
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-24,MYVO,27.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,EPFU,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,LABO,4.0,0.004617
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,LACI,12.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,LANO,3.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,MYCI,1.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,MYLU,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-26,MYVO,18.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,EPFU,5.0,1.0
