CONUS10k,Tree_TCA,Tree_CONNECT_,Tree_CLUMPY,Tree_NDCA,Water_CLUMPY,Water_CA,Developed_CA
82592,0.0,10.0,0.3888,0.0,0.5909,1.35,258.48
82593,0.0,13.7931,0.278,0.0,1.0,0.54,340.11
82594,0.0,6.6667,0.3822,0.0,NA,NA,241.29
82595,0.18,20.0,0.6046,1.0,NA,NA,212.4
82596,10.62,8.653,0.6091,19.0,NA,NA,134.91
82597,22.32,4.3666,0.5179,51.0,0.8155,88.2,106.74
82598,174.78,2.0258,0.6728,77.0,0.8071,202.14,460.71
82599,45.09,4.1103,0.5745,57.0,0.7504,84.6,192.6
82600,13.32,4.1298,0.5614,30.0,-1.0,1.17,152.01
82601,NA,NA,NA,NA,NA,0.09,11.61
82602,0.0,0.0,NA,0.0,NA,NA,NA
82603,0.0,10.0,0.25,0.0,NA,NA,44.37
82604,0.0,6.4103,0.2499,0.0,NA,NA,2.7
82605,0.0,28.5714,0.387,0.0,NA,NA,NA
82606,0.27,13.3333,0.4997,2.0,NA,0.09,NA
82607,0.0,30.4762,0.347,0.0,NA,NA,NA
82608,0.09,6.4218,0.3152,1.0,0.6903,4.41,NA
82609,NA,NA,NA,NA,NA,NA,NA
82610,0.09,60.0,0.6178,1.0,NA,NA,40.86
82611,0.0,0.0,-1.0,0.0,NA,NA,16.02
82612,2.34,5.7659,0.4141,5.0,0.3999,2.25,184.77
82613,7.02,3.3326,0.478,20.0,0.7691,36.27,191.7
82614,10.8,2.1462,0.4823,38.0,0.85,37.08,155.52
82615,79.38,1.6274,0.5674,140.0,0.5427,7.65,150.3
82616,214.02,1.7938,0.6206,278.0,0.5518,11.79,145.08
82617,236.7,1.636,0.6163,322.0,0.5043,10.35,218.88
82618,179.37,2.6989,0.6507,184.0,0.5087,32.22,217.44
82619,66.33,3.6514,0.6476,89.0,0.6588,27.36,281.07
82620,622.53,1.6301,0.6761,382.0,0.6104,9.27,427.23
82621,115.74,1.1836,0.5487,248.0,0.5276,3.87,235.71
82622,255.06,1.3185,0.5944,331.0,0.3843,4.77,195.75
82623,15.3,1.4004,0.4536,55.0,0.3263,2.7,270.36
82624,104.13,1.2655,0.5382,204.0,0.8823,280.8,259.56
82625,4.32,1.2396,0.3737,23.0,0.2316,3.69,221.31
82626,50.58,1.611,0.5595,92.0,0.4417,9.9,237.15
82627,12.33,1.5483,0.4955,41.0,0.7674,28.98,244.62
82628,55.98,1.865,0.5669,110.0,0.8755,205.02,346.5
82629,13.68,1.4503,0.5135,27.0,0.3999,1.26,173.07
82630,4.59,1.6563,0.4563,17.0,0.2499,1.26,365.58
82631,5.4,1.5364,0.4417,17.0,0.1851,1.62,249.84
82632,51.66,1.5205,0.569,79.0,0.4334,6.93,245.07
82633,99.18,1.4565,0.5968,114.0,0.6703,120.06,402.75
82634,42.39,1.7767,0.6246,56.0,0.6451,17.82,319.32
82635,50.85,2.7658,0.6273,81.0,0.7621,22.86,363.06
82636,78.48,2.2265,0.6631,82.0,0.5429,29.07,253.62
82637,8.91,2.6687,0.5092,32.0,0.7316,2.34,216.45
82638,53.1,1.5706,0.5819,112.0,0.5675,38.97,277.65
82639,74.61,1.6556,0.6488,98.0,0.7375,60.3,317.61
82640,181.62,1.4596,0.684,189.0,0.6652,18.99,214.92
82641,212.49,1.4325,0.6769,220.0,0.6256,12.15,251.19
82642,16.74,1.3172,0.5316,55.0,0.6634,5.67,257.13
82643,38.88,1.7181,0.6062,68.0,0.3846,0.9,199.08
82644,14.85,2.5811,0.5602,40.0,0.5189,28.26,226.44
82645,33.84,2.3355,0.6311,54.0,0.5724,59.4,272.34
82646,29.52,2.0501,0.621,29.0,0.5289,28.44,284.04
82647,512.55,1.9081,0.7823,135.0,0.756,185.04,356.22
82648,11.79,1.2156,0.4992,44.0,0.8603,41.4,281.43
82649,93.78,1.1632,0.629,140.0,0.6705,8.1,334.62
82650,374.58,1.5718,0.6906,224.0,0.8826,359.64,1224.36
82651,505.53,1.9605,0.7861,125.0,0.9316,315.81,487.71
83047,0.18,2.8986,0.4333,2.0,0.8395,14.04,220.05
83048,0.0,0.0,0.2,0.0,NA,NA,181.17
83049,0.0,0.0,-1.0,0.0,0.875,0.63,128.16
83050,0.0,7.5758,0.2811,0.0,NA,NA,185.49
83051,0.09,6.1684,0.302,1.0,NA,NA,80.1
83052,34.02,1.6975,0.4899,135.0,0.9167,0.81,169.29
83053,149.22,1.7213,0.5877,271.0,NA,NA,154.62
83054,18.99,4.9673,0.5783,47.0,NA,NA,176.49
83055,31.32,2.1385,0.5102,93.0,NA,NA,203.22
83056,1.71,6.957,0.4737,9.0,0.8333,0.81,231.57
83057,8.28,3.9296,0.4778,32.0,NA,NA,184.5
83058,19.53,4.4611,0.5266,64.0,0.7881,8.55,129.78
83059,27.54,3.2079,0.4942,40.0,0.766,302.04,212.58
83060,111.33,3.6531,0.6819,47.0,0.7602,174.78,166.77
83061,0.0,5.1208,0.228,0.0,0.6315,2.16,152.37
83062,2.52,7.9853,0.4205,11.0,-1.0,0.18,181.08
83063,4.59,11.6667,0.4809,16.0,0.3822,1.98,8.73
83064,0.0,0.0,NA,0.0,NA,NA,NA
83065,0.0,19.0476,0.3998,0.0,1.0,0.18,0.54
83066,0.0,7.5758,0.2855,0.0,0.9484,34.11,29.97
83067,0.0,0.0,0.5714,0.0,NA,NA,9.36
83068,0.0,33.3333,0.3846,0.0,NA,NA,NA
83069,0.0,4.6154,0.2176,0.0,0.8066,18.09,13.68
83070,0.99,9.0808,0.4566,7.0,0.8907,98.64,38.7
83071,0.0,5.4945,0.3254,0.0,0.7049,18.72,32.85
83072,0.0,100.0,0.7059,0.0,NA,0.09,38.25
83073,0.27,1.5152,0.5498,1.0,NA,NA,64.62
83074,0.0,10.6061,0.1362,0.0,-1.0,0.18,24.84
83075,0.0,10.0,0.2499,0.0,NA,NA,29.88
83076,0.27,19.697,0.5831,1.0,0.9056,5.49,NA
83077,1.26,5.4645,0.4293,4.0,0.6284,35.46,36.72
83078,0.18,4.7619,0.247,1.0,0.5303,7.47,NA
83079,0.18,2.0224,0.2574,2.0,0.7972,3.96,2.7
83080,3.78,2.057,0.5043,14.0,0.2999,0.72,47.7
83081,8.46,2.5518,0.5086,12.0,0.4444,1.62,103.86
83082,47.61,2.1923,0.5763,49.0,0.4152,3.51,282.06
83083,221.76,1.1878,0.5716,343.0,0.7197,12.33,277.56
83084,244.35,1.5237,0.6025,296.0,0.4389,2.34,237.6
83085,114.75,1.3742,0.5398,259.0,0.8735,135.54,224.28
83086,77.58,1.2594,0.5144,119.0,0.8636,187.65,347.76
83087,101.88,1.2549,0.5436,201.0,0.8837,155.88,210.78
83088,27.45,1.3483,0.5,67.0,0.5329,9.72,274.5
83089,116.64,1.3082,0.5589,244.0,0.8037,48.42,346.86
83090,68.49,1.1928,0.5195,117.0,0.8496,272.16,522.36
83091,97.38,1.3342,0.5346,253.0,0.8014,104.31,136.62
83092,4.59,1.7978,0.452,22.0,0.7968,9.81,202.05
83093,29.16,1.416,0.5504,41.0,0.7441,2.43,229.95
83094,9.54,1.5122,0.4609,37.0,0.6095,17.19,212.94
83095,89.01,1.6017,0.5933,122.0,0.6715,122.31,261.99
83096,44.28,1.4817,0.5462,59.0,0.6735,61.47,263.34
83097,9.63,1.5194,0.5551,34.0,0.6176,1.98,228.06
83098,136.8,1.8473,0.7063,85.0,0.7026,24.39,276.39
83099,2.43,1.698,0.502,15.0,1.0,0.45,227.79
83100,3.69,2.2222,0.4608,19.0,0.5589,4.86,229.32
83101,9.54,1.8393,0.5551,24.0,0.6028,9.45,244.17
83102,13.32,1.1364,0.5648,52.0,0.6176,11.52,321.39
83103,107.1,1.3498000000000001,0.6487,159.0,0.6178,17.82,235.98
83104,20.79,1.0163,0.5325,87.0,0.645,20.7,248.31
83105,39.15,1.1101,0.5649,95.0,1.0,0.9,249.3
83106,22.32,1.0886,0.5408,70.0,0.6196,6.21,240.57
83107,5.22,1.2821,0.4911,24.0,0.6249,1.44,235.35
83108,101.16,1.7215,0.6814,78.0,0.7555,101.61,417.96
83109,257.31,1.8939,0.7225,99.0,0.7444,231.3,443.25
83110,62.55,1.1056,0.5834,91.0,0.7578,106.02,302.85
83111,37.8,1.1612,0.5382,101.0,0.7862,68.85,219.87
83112,172.98,1.2844,0.6592,169.0,0.6575,25.11,275.49
83113,213.57,2.0575,0.7118,106.0,0.8997,271.98,271.98
83510,61.38,4.0787,0.6187,94.0,NA,NA,203.22
83511,34.65,4.8587,0.6169,55.0,NA,NA,164.16
83512,42.39,3.9419,0.609,79.0,NA,NA,133.47
83513,31.77,3.1994,0.5497,62.0,NA,NA,225.45
83514,273.24,3.3051,0.7294,130.0,0.6764,1.98,174.24
83515,178.02,3.2466,0.6888,134.0,0.875,0.63,204.57
83516,178.65,2.3439,0.6313,245.0,NA,NA,176.04
83517,82.71,2.4542,0.6118,158.0,1.0,0.99,169.92
83518,15.57,2.0221,0.5311,46.0,1.0,0.63,198.45
83519,0.0,3.1557,0.3034,0.0,0.6999,4.23,209.79
83520,2.79,2.7712,0.3044,16.0,0.7875,156.06,231.12
83521,2.79,2.928,0.3155,12.0,0.8057,214.56,185.94
83522,0.0,14.5455,0.2591,0.0,0.7916,1.44,170.64
83523,0.0,25.0,0.2499,0.0,NA,NA,97.56
83524,2.07,10.961,0.4966,3.0,-1.0,0.54,124.92
83525,2.88,8.981,0.4426,12.0,0.6305,6.66,43.11
83526,NA,NA,NA,NA,NA,NA,NA
83527,0.0,0.0,NA,0.0,NA,NA,NA
83528,0.0,0.0,0.5,0.0,NA,NA,NA
83529,0.0,5.1282,0.2776,0.0,0.5789,2.16,NA
83530,0.36,12.253,0.4711,2.0,NA,NA,87.57
83531,0.09,11.6667,0.3869,1.0,0.9433,275.13,36.45
83532,0.63,9.2915,0.4369,4.0,0.8803,101.43,26.82
83533,0.0,4.4444,0.1362,0.0,0.8959,366.48,NA
83534,3.06,60.0,0.8128,3.0,0.6751,47.43,NA
83535,0.0,19.4444,0.361,0.0,NA,NA,NA
83536,2.43,4.2308,0.4877,5.0,NA,NA,29.52
83537,0.0,9.0909,0.111,0.0,NA,NA,NA
83538,2.52,11.9048,0.6044,5.0,NA,NA,NA
83539,0.09,6.2389,0.3479,1.0,0.9212,66.87,NA
83540,12.24,6.2038,0.5899,22.0,0.8916,77.13,40.23
83541,25.92,3.7198,0.6261,35.0,0.5351,28.8,NA
83542,1.44,5.1587,0.4068,5.0,0.5338,10.17,NA
83543,0.9,9.0909,0.5903,3.0,0.3998,2.52,NA
83544,3.78,4.093,0.4436,15.0,-1.0,0.27,53.73
83545,195.12,2.9263,0.7326,93.0,0.25,0.36,133.47
83546,305.01,1.3481,0.6458,267.0,0.8478,145.89,201.87
83547,104.22,1.8831,0.5715,166.0,0.8718,197.91,195.12
83548,95.04,1.4083,0.5695,96.0,0.8757,38.61,244.17
83549,539.1,1.5551,0.631,477.0,0.5115,2.43,305.82
83550,707.22,1.1262,0.5708,758.0,0.1723,1.71,222.21
83551,406.17,0.9784,0.5856,489.0,0.7432,23.04,220.68
83552,232.2,1.0689,0.5875,302.0,0.8233,259.2,276.39
83553,14.04,1.0188,0.3934,62.0,0.3825,18.9,174.33
83554,23.85,1.5738,0.5094,46.0,0.3792,1.71,156.69
83555,11.97,2.5174,0.5182,27.0,0.2565,10.26,103.95
83556,64.98,1.9395,0.5643,107.0,0.4912,54.36,189.72
83557,87.03,1.1496,0.5508,140.0,0.6027,83.16,373.05
83558,28.26,1.237,0.4777,65.0,0.355,4.05,289.26
83559,16.83,1.7486,0.5137,43.0,0.5755,9.54,269.73
83560,47.88,1.5331,0.6045,89.0,0.4978,27.36,526.77
83561,13.32,1.0503,0.5648,27.0,0.6862,9.27,232.02
83562,24.75,2.4306,0.6148,36.0,0.8332,8.46,354.15
83563,3.96,2.3042,0.4785,19.0,0.6858,8.64,302.13
83564,10.44,2.0963,0.5075,54.0,0.5773,25.65,276.75
83565,6.48,1.889,0.493,22.0,0.6919,18.72,379.8
83566,14.94,1.3208,0.5631,63.0,0.5675,12.33,276.21
83567,25.11,1.1745,0.5335,63.0,0.6618,18.9,371.43
83568,21.69,1.1914,0.5185,78.0,0.8851,9.18,415.71
83569,14.22,0.9787,0.5264,57.0,0.8199,5.22,367.83
83570,40.77,1.4666,0.6036,91.0,0.6165,3.24,376.83
83571,466.2,1.8718,0.736,141.0,0.7796,278.73,298.53
83572,24.3,1.3855,0.5496,62.0,0.6385,34.65,267.39
83573,15.84,1.2212,0.5005,44.0,0.6213,23.4,356.85
83574,98.1,1.4761,0.6556,127.0,0.8194,37.35,198.18
83575,65.43,2.2659,0.6333,99.0,0.7548,59.94,374.94
83576,144.09,1.7887,0.645,98.0,0.8821,295.29,338.49
83973,20.07,5.3676,0.5713,71.0,NA,NA,211.05
83974,87.57,5.9029,0.7006,99.0,NA,NA,145.8
83975,1.89,18.7135,0.5942,7.0,NA,NA,188.1
83976,0.0,11.1111,-1.0,0.0,NA,NA,284.31
83977,1.71,5.2381,0.5783,1.0,NA,NA,228.24
83978,22.77,7.4684,0.6425,41.0,0.7998,7.83,221.22
83979,86.31,2.3802,0.5788,209.0,0.6841,2.16,136.17
83980,2.43,4.0072,0.4572,7.0,NA,NA,107.19
83981,45.0,2.8927,0.5941,60.0,0.7309,60.21,315.81
83982,20.61,1.7308,0.4466,35.0,0.7808,199.71,286.02
83983,9.0,3.0043,0.3963,13.0,0.8683,94.68,239.58
83984,0.27,7.0076,0.3948,3.0,NA,NA,160.11
83985,0.45,18.1818,0.4305,3.0,0.8809,42.57,64.62
83986,0.0,0.0,NA,0.0,0.6014,6.3,NA
83987,0.63,20.6667,0.4713,2.0,0.9558,301.41,NA
83988,0.0,0.0,NA,0.0,0.6723,3.15,NA
83989,0.09,0.0,0.7692,1.0,0.6819,10.62,NA
83990,0.0,0.0,-1.0,0.0,0.7883,5.4,NA
83991,0.0,16.6667,0.5333,0.0,0.1249,0.63,NA
83992,0.0,11.1111,0.3199,0.0,0.7279,26.28,NA
83993,0.0,6.6667,0.0999,0.0,0.9145,125.91,46.26
83994,0.27,7.2796,0.2605,1.0,0.8449,133.47,NA
83995,1.53,5.2392,0.3782,5.0,0.9209,560.07,NA
83996,0.09,7.5758,0.2672,1.0,0.8936,187.38,NA
83997,0.0,0.0,1.0,0.0,0.5909,1.35,NA
83998,0.36,23.8095,0.4498,1.0,-1.0,0.27,NA
83999,0.72,9.3333,0.5509,4.0,NA,0.09,34.38
84000,0.0,7.6923,0.3146,0.0,NA,NA,NA
84001,0.0,0.0,0.1666,0.0,NA,NA,NA
84002,27.18,4.4384,0.5968,29.0,0.4019,11.43,27.18
84003,42.93,3.598,0.6028,54.0,0.5666,60.21,23.94
84004,33.75,2.6476,0.5676,62.0,0.6814,97.83,NA
84005,10.98,4.9627,0.5718,25.0,0.7492,30.87,NA
84006,3.51,3.7166,0.579,8.0,0.1249,0.63,51.75
84007,3.06,4.0265,0.4479,8.0,0.9215,18.54,39.06
84008,10.08,3.6902,0.5082,27.0,0.8634,179.1,NA
84009,116.91,1.744,0.6348,114.0,0.838,115.38,46.98
84010,9.72,1.732,0.4591,27.0,-1.0,0.27,114.48
84011,188.64,1.1861,0.6126,196.0,0.8317,76.77,296.37
84012,323.46,1.3209,0.6185,316.0,0.7899,136.17,319.5
84013,188.1,1.1724,0.5987,219.0,0.8223,172.44,239.85
84014,520.11,1.3839,0.6637,322.0,0.7565,223.2,514.17
84015,544.68,1.1785,0.6955,231.0,0.421,13.5,230.31
84016,52.92,1.4924,0.5319,115.0,0.4388,13.41,176.49
84017,33.93,1.5887,0.5151,76.0,0.4969,28.08,49.5
84018,41.58,1.7238,0.5196,91.0,0.6277,62.1,218.97
84019,6.39,1.85,0.4605,33.0,0.8082,15.03,186.84
84020,28.62,1.5982,0.5133,72.0,0.4666,0.99,219.15
84021,52.56,1.2811,0.5677,103.0,0.6809,7.02,176.85
84022,200.16,1.6446,0.6617,133.0,0.6869,50.4,112.23
84023,43.11,1.8643,0.5864,84.0,0.5475,18.54,268.56
84024,5.13,1.3416,0.4933,22.0,0.7061,10.8,213.66
84025,8.28,1.9423,0.5118,27.0,0.5783,7.11,272.16
84026,3.33,1.711,0.5103,14.0,0.6228,3.33,239.85
84027,19.62,1.5149,0.5603,37.0,0.6471,14.58,266.04
84028,68.22,1.6541,0.6232,135.0,0.86240000000000006,71.73,519.57
84029,103.23,1.2231,0.6352,139.0,0.6026,9.9,286.29
84030,13.68,1.0298,0.5138,59.0,0.6305,6.66,291.69
84031,14.85,1.0881,0.5154,67.0,0.5051,4.86,294.48
84032,17.91,1.1513,0.5481,79.0,0.5054,4.68,286.65
84033,22.41,1.0943,0.5441,77.0,0.6172,5.94,284.13
84034,242.28,1.4612,0.68,132.0,0.8157,337.41,714.87
84035,4.86,1.1236,0.4978,27.0,0.5,0.72,287.37
84036,8.46,1.5689,0.5037,36.0,0.6448,54.99,437.13
84037,163.89,1.6484,0.6895,139.0,0.7842,44.55,297.0
84038,160.65,1.7719,0.7048,86.0,0.8156,27.27,325.26
84039,252.27,1.6399,0.7081,128.0,0.8665,371.25,403.92
84436,0.0,7.7922,0.3168,0.0,NA,NA,163.35
84437,0.0,0.0,0.5333,0.0,NA,NA,170.64
84438,8.28,13.244,0.5716,22.0,NA,NA,177.12
84439,294.84,2.1532,0.6551,324.0,0.6818,1.35,251.82
84440,605.97,2.3671,0.703,344.0,0.9111,2.52,230.4
84441,281.97,2.2927,0.6709,252.0,0.5714,0.54,205.83
84442,77.58,1.8326,0.5627,91.0,0.7404,123.03,255.15
84443,97.74,1.5348,0.5605,106.0,0.7439,204.66,316.62
84444,45.18,1.6343,0.563,88.0,0.7856,264.33,536.4
84445,0.72,3.4461,0.2983,2.0,1.0,0.99,215.46
84446,0.9,12.66,0.4383,2.0,NA,NA,142.02
84447,0.72,13.5266,0.3614,2.0,0.6326,12.24,60.75
84448,1.35,3.9216,0.5916,3.0,0.8609,151.2,10.53
84449,2.16,3.6507,0.3686,13.0,0.8957,469.17,4.95
84450,0.0,4.0293,0.1666,0.0,0.9417,1192.59,NA
84451,0.0,20.5128,0.0415,0.0,0.9169,216.9,NA
84452,0.0,8.8235,0.0643,0.0,0.7159,32.58,NA
84453,0.0,13.6842,0.1497,0.0,0.8489,67.23,NA
84454,NA,NA,NA,NA,0.7896,16.47,NA
84455,0.0,35.5556,0.3927,0.0,0.9258,30.24,24.21
84456,0.09,7.9051,0.4289,1.0,0.8394,20.16,25.47
84457,0.09,8.5366,0.2861,1.0,0.8426,103.32,NA
84458,0.09,4.2002,0.2879,1.0,0.7466,48.15,NA
84459,8.64,10.7692,0.6368,4.0,0.8934,19.53,NA
84460,62.19,8.7121,0.7955,24.0,NA,NA,NA
84461,130.23,8.1823,0.7747,53.0,-1.0,0.18,25.74
84462,93.06,10.3846,0.8021,20.0,0.8633,27.0,19.53
84463,111.78,3.8875,0.7623,39.0,0.2464,8.55,NA
84464,100.08,3.897,0.75,49.0,0.4027,15.93,NA
84465,25.56,4.5969,0.601,47.0,0.4574,21.51,52.83
84466,0.45,1.868,0.2998,4.0,NA,NA,NA
84467,1115.37,1.942,0.723,402.0,0.1008,7.02,NA
84468,193.86,2.2015,0.6996,119.0,0.7645,173.7,28.71
84469,5.4,3.6498,0.4095,27.0,0.7941,204.66,99.63
84470,15.75,4.3262,0.5703,19.0,0.8719,141.84,22.05
84471,5.31,2.8181,0.5397,11.0,0.1764,1.08,NA
84472,1.71,2.9974,0.4114,7.0,NA,0.09,1.89
84473,5.04,2.0589,0.4381,28.0,0.8105,109.26,290.7
84474,13.14,2.0505,0.4736,34.0,0.8106,78.39,132.75
84475,11.16,1.1921,0.4282,55.0,0.1666,0.81,37.26
84476,26.46,1.434,0.4647,71.0,0.9746,1949.13,35.28
84477,19.8,1.2549,0.4536,45.0,0.4928,3.78,156.51
84478,62.73,1.2046,0.5526,87.0,0.6404,10.26,161.19
84479,15.21,2.3299,0.4982,28.0,0.4715,11.52,NA
84480,10.44,2.45,0.4439,39.0,0.4491,28.08,0.81
84481,0.9,1.7544,0.3424,7.0,0.5562,18.27,119.07
84482,5.85,2.5901,0.4462,24.0,0.5797,16.92,234.99
84483,0.45,1.8161,0.3136,4.0,0.5669,26.01,72.27
84484,82.62,1.9524,0.5723,84.0,0.5662,44.64,92.88
84485,98.55,1.1762,0.5185,191.0,0.4969,25.92,198.36
84486,6.21,1.8019,0.4667,26.0,0.5433,14.49,330.21
84487,1.98,1.5226,0.4804,13.0,0.6355,7.11,218.25
84488,4.77,1.333,0.5122,25.0,0.647,1.08,275.67
84489,34.47,1.8233,0.6237,56.0,0.8,0.45,237.15
84490,15.75,1.2195,0.5724,45.0,NA,NA,265.14
84491,42.84,1.143,0.5623,125.0,0.7853,76.14,309.69
84492,250.83,1.4729,0.6673,183.0,0.7391,305.55,255.24
84493,265.59,1.4532,0.6852,232.0,0.7854,128.34,270.72
84494,65.16,1.1505,0.6155,115.0,0.5789,8.28,234.54
84495,50.13,1.5809,0.5967,106.0,0.6859,16.47,232.74
84496,365.4,1.3169,0.7565,139.0,0.8303,245.52,424.17
84497,99.54,1.5346,0.6832,69.0,0.8083,103.86,306.63
84498,4.23,1.0622,0.5153,25.0,0.6923,0.9,255.15
84499,8.91,1.562,0.5005,31.0,0.6813,71.82,382.86
84500,79.02,1.6496,0.6332,131.0,0.7867,9.18,204.48
84501,457.83,2.1505,0.7895,115.0,0.823,60.39,258.12
84502,80.46,1.978,0.6354,59.0,0.9092,223.38,400.5
84899,11.79,5.6609,0.5374,27.0,0.6939,10.26,161.28
84900,0.72,5.4067,0.3699,4.0,NA,NA,203.85
84901,465.93,1.7204,0.6787,358.0,NA,NA,139.68
84902,307.08,2.285,0.7183,182.0,0.7339,16.29,377.91
84903,23.76,1.663,0.5576,37.0,0.7572,54.0,670.05
84904,48.33,1.8203,0.5685,69.0,0.7316,164.43,538.02
84905,84.24,2.0011,0.6059,94.0,0.7106,83.34,594.18
84906,24.3,1.9415,0.5467,67.0,0.5999,1.53,421.2
84907,1.62,3.3794,0.4266,6.0,NA,0.09,268.02
84908,0.0,4.5198,0.3754,0.0,0.4615,0.9,146.61
84909,0.45,3.3146,0.2043,1.0,0.8139,55.98,27.99
84910,0.45,3.3932,0.2885,5.0,0.8289,194.31,NA
84911,0.0,5.2874,0.0766,0.0,0.8838,558.72,NA
84912,0.0,2.5362,0.1309,0.0,0.8623,501.03,NA
84913,1.44,9.0877,0.3952,5.0,0.8807,693.45,NA
84914,0.0,16.6667,0.1428,0.0,0.8429,138.33,NA
84915,0.09,4.5455,0.3332,1.0,0.8383,159.39,NA
84916,0.0,7.0513,0.1569,0.0,0.8802,270.27,NA
84917,1.89,13.6364,0.674,6.0,0.8686,91.35,NA
84918,0.0,6.6667,0.0999,0.0,0.77,18.36,37.89
84919,0.09,5.2394,0.3215,1.0,0.9164,340.02,9.45
84920,0.9,5.5523,0.4677,3.0,0.888,235.44,NA
84921,0.09,39.5604,0.4808,1.0,0.7686,10.53,NA
84922,10.08,15.1515,0.6801,16.0,0.6196,3.78,NA
84923,15.66,9.0909,0.6481,28.0,NA,0.09,NA
84924,22.23,19.7802,0.7483,13.0,-1.0,0.18,36.36
84925,0.0,0.0,1.0,0.0,NA,NA,NA
84926,0.0,0.0,0.4285,0.0,NA,NA,NA
84927,0.0,20.0,0.409,0.0,NA,NA,NA
84928,0.0,5.1948,0.1487,0.0,NA,NA,43.83
84929,2.07,4.2341,0.3709,9.0,0.5963,48.15,35.82
84930,120.6,2.1088,0.5841,240.0,0.7802,116.82,63.0
84931,4.14,2.6099,0.4032,12.0,0.7744,44.1,36.0
84932,2.43,2.2454,0.4425,5.0,0.5,0.27,NA
84933,8.82,3.9503,0.4893,29.0,0.7799,63.54,31.23
84934,7.47,3.0795,0.4233,26.0,0.7722,147.6,87.21
84935,12.15,3.8382,0.4748,27.0,0.737,133.92,68.49
84936,5.13,3.5341,0.4476,16.0,0.8324,54.36,75.06
84937,2.7,2.0025,0.3683,8.0,0.6771,48.33,0.9
84938,8.46,2.4579,0.4119,34.0,0.7628,205.2,49.5
84939,5.49,1.5966,0.3782,18.0,0.758,127.53,NA
84940,3.96,1.7748,0.3626,13.0,0.6092,149.94,35.01
84941,5.31,1.4828,0.3358,19.0,0.5542,68.49,NA
84942,18.54,2.3443,0.4545,49.0,0.6804,102.51,NA
84943,0.63,2.9294,0.405,4.0,0.7082,82.35,80.37
84944,9.81,1.9136,0.4634,17.0,0.6286,62.37,138.06
84945,4.77,2.2413,0.4144,26.0,0.6193,19.35,203.4
84946,18.09,2.2073,0.4886,61.0,0.6794,21.51,123.39
84947,8.28,1.2234,0.4694,24.0,0.6392,3.33,250.11
84948,5.94,1.4201,0.4561,21.0,0.6305,12.42,281.34
84949,157.95,2.031,0.6981,89.0,0.5916,8.73,345.6
84950,20.52,1.7435,0.581,34.0,0.6121,2.7,213.03
84951,44.01,1.5593,0.5983,45.0,0.5628,6.12,270.09
84952,82.44,1.1731,0.608,108.0,0.7009,43.38,296.01
84953,207.18,1.3033,0.653,184.0,0.7801,180.81,386.64
84954,222.3,1.1471,0.6504,209.0,0.8007,319.32,1800.27
84955,217.17,1.2172,0.6489,216.0,0.7489,144.36,404.73
84956,137.07,1.2439,0.6542,142.0,0.8295,125.28,324.36
84957,276.12,1.3318,0.6998,174.0,0.8526,221.85,292.77
84958,260.19,1.5179,0.6819,174.0,0.8122,294.21,415.44
84959,21.96,1.4507,0.5723,48.0,0.6382,2.61,288.63
84960,6.3,0.8243,0.5477,28.0,0.4665,2.52,298.08
84961,4.77,1.28,0.4765,27.0,0.6421,43.83,334.08
84962,8.55,1.2286,0.4792,36.0,0.6799,58.14,244.71
84963,71.1,1.2706,0.6018,124.0,0.4665,2.52,242.46
84964,547.11,1.6675,0.7095,248.0,0.892,473.04,377.64
84965,47.88,1.9341,0.5585,86.0,0.8864,108.09,807.75
85362,0.81,2.8212,0.3668,5.0,0.8725,174.33,327.87
85363,0.45,2.3266,0.3847,3.0,0.573,4.32,408.33
85364,25.47,3.2422,0.5728,32.0,0.8,1.53,281.43
85365,75.6,1.8458,0.5865,108.0,0.7531,142.11,602.82
85366,117.18,1.3619,0.63,90.0,0.7668,249.75,2658.06
85367,7.29,2.3186,0.5401,24.0,0.6543,5.67,413.1
85368,14.22,3.6942,0.5973,23.0,NA,NA,443.61
85369,0.18,7.6923,0.3672,1.0,NA,0.09,152.73
85370,0.0,8.2927,0.3093,0.0,-1.0,0.45,164.16
85371,13.5,6.7362,0.5646,17.0,0.7832,17.73,76.77
85372,4.77,3.8941,0.4791,13.0,0.7119,23.4,NA
85373,11.79,6.331,0.5916,20.0,0.8462,208.44,NA
85374,0.0,3.6667,0.1377,0.0,0.8943,666.27,NA
85375,0.0,5.5556,0.2726,0.0,0.9086,708.21,NA
85376,0.72,6.9249,0.3279,3.0,0.8709,745.65,NA
85377,0.0,20.0,0.1428,0.0,0.8501,177.3,NA
85378,0.27,13.3333,0.6562,2.0,0.8476,227.88,NA
85379,0.0,7.0175,0.1314,0.0,0.8913,396.63,NA
85380,0.36,4.7619,0.5944,2.0,0.9058,30.42,NA
85381,0.54,2.9868,0.3295,4.0,0.9274,314.37,53.37
85382,0.09,3.3695,0.2884,1.0,0.8664,343.71,102.87
85383,2.07,4.8519,0.4248,8.0,0.9014,170.1,NA
85384,0.0,3.0918,0.1234,0.0,0.8999,318.87,NA
85385,0.0,4.7619,0.0768,0.0,0.8185,9.63,NA
85386,0.0,0.0,0.4285,0.0,NA,NA,NA
85387,0.09,6.6667,0.4721,1.0,NA,NA,35.01
85388,0.36,9.4737,0.4782,4.0,NA,0.09,10.8
