CONUS10k,Tree_TCA,Tree_CONNECT_,Tree_CLUMPY,Tree_NDCA,Water_CLUMPY,Water_CA,Developed_CA
80309,7.56,1.3098,0.4716,32.0,0.4299,11.07,214.47
80310,41.22,2.3844,0.6051,63.0,0.446,20.07,388.53
80311,40.77,1.5302,0.5808,97.0,0.4724,13.68,446.67
80312,139.05,1.915,0.6236,147.0,0.7826,197.01,405.45
80313,222.57,1.3272,0.612,226.0,0.8181,378.81,384.84
80314,245.34,1.3064,0.6446,191.0,0.8394,314.1,401.04
80315,144.18,1.9043,0.6695,101.0,0.8848,126.0,354.15
80316,7.02,1.3259,0.455,13.0,0.5106,11.16,425.7
80317,27.81,1.5607,0.5699,68.0,0.6273,21.24,299.7
80318,7.65,1.4391,0.5,17.0,0.3999,1.53,342.0
80319,554.31,1.5644,0.7778,117.0,0.8413,500.58,817.74
80320,517.41,2.0426,0.7751,143.0,0.8486,244.26,266.58
80321,24.12,1.6291,0.6153,22.0,0.6981,9.45,275.94
80322,78.57,2.0236,0.687,73.0,0.6408,6.03,327.15
80323,49.23,2.3389,0.6561,59.0,0.7679,15.39,307.44
80324,49.32,1.9279,0.685,40.0,0.7467,16.92,197.01
80325,70.2,2.8338,0.7077,62.0,0.6037,7.56,212.85
80326,102.33,2.0728,0.6699,87.0,0.6456,35.82,254.79
80327,16.83,1.4042,0.5584,52.0,0.7361,34.65,247.95
80328,105.03,1.2508,0.6193,174.0,0.736,49.23,242.01
80329,108.72,1.394,0.6359,158.0,0.7623,30.96,321.93
80330,90.54,1.3749,0.6449,123.0,0.6289,8.91,251.64
80331,40.59,1.6831,0.5931,80.0,0.6592,14.13,269.1
80332,48.51,1.4654,0.5761,75.0,0.7698,90.27,275.67
80333,347.94,1.4116,0.7609,106.0,0.8697,1003.86,366.93
80334,46.44,1.4411,0.5405,80.0,0.6507,36.63,1048.77
80335,157.05,1.2211,0.661,111.0,0.8796,268.38,1240.92
80336,381.24,1.2016,0.6853,205.0,0.7851,220.59,2630.43
80337,1236.96,1.5479,0.836,163.0,0.8527,444.33,1373.22
80734,0.0,0.0,0.4166,0.0,1.0,0.72,81.0
80735,0.0,20.0,0.3529,0.0,NA,NA,131.31
80736,0.09,10.8696,0.3671,1.0,NA,NA,245.34
80737,0.0,9.5238,0.3397,0.0,NA,NA,184.05
80738,0.0,16.6667,0.1577,0.0,NA,NA,261.81
80739,0.0,30.0,0.3333,0.0,NA,NA,351.36
80740,0.0,10.7143,0.4116,0.0,NA,NA,319.5
80741,0.0,0.0,0.4,0.0,NA,NA,246.51
80742,0.0,4.4444,0.1943,0.0,0.7407,1.62,242.19
80743,0.9,4.2857,0.5495,3.0,0.7906,2.43,190.89
80744,0.0,4.4444,0.294,0.0,NA,NA,159.57
80745,2.16,5.0581,0.4077,8.0,0.9167,1.44,258.21
80746,0.63,6.0901,0.3802,4.0,NA,NA,298.8
80747,32.58,3.9796,0.5629,43.0,0.7293,68.31,324.09
80748,116.73,3.1582,0.6807,70.0,0.784,155.7,404.55
80749,34.2,3.3506,0.607,68.0,0.7896,147.33,289.62
80750,102.87,3.0291,0.699,36.0,0.7735,148.5,339.03
80751,22.23,2.7051,0.5384,33.0,0.7876,59.67,272.43
80752,10.71,2.9003,0.4729,22.0,0.7316,2.34,241.65
80753,102.6,3.4303,0.754,42.0,0.6559,102.15,246.78
80754,80.28,3.3266,0.6757,65.0,0.6844,142.02,384.39
80755,86.94,2.8995,0.6901,50.0,0.6519,137.52,270.36
80756,43.56,2.7356,0.5959,76.0,0.9576,1419.39,299.34
80757,13.5,2.2161,0.5452,32.0,0.6857,82.44,295.74
80758,122.04,1.9122,0.652,113.0,0.7288,153.9,318.15
80759,146.34,1.2365,0.587,149.0,0.82,393.84,2503.89
80760,649.62,2.1043,0.7588,182.0,0.7883,478.98,492.66
80761,70.56,3.978,0.681,49.0,0.836,84.42,199.71
80762,7.65,6.042,0.5479,16.0,-1.0,0.18,38.16
80763,6.21,3.9205,0.4387,27.0,NA,NA,136.71
80764,23.13,1.8767,0.4358,115.0,0.2579,1.8,236.97
80765,5.22,2.1231,0.4187,22.0,0.4999,1.35,180.36
80766,29.07,1.939,0.4951,79.0,0.4145,2.34,203.31
80767,15.12,1.7382,0.4381,50.0,0.2999,0.72,230.13
80768,92.43,1.4153,0.5184,180.0,0.5677,32.31,182.61
80769,90.63,1.6227,0.5793,147.0,0.5634,96.12,170.55
80770,8.19,1.3828,0.4535,32.0,0.1362,1.35,205.2
80771,21.33,1.4851,0.5177,60.0,0.3843,5.4,240.12
80772,127.26,1.4934,0.6513,141.0,0.4398,8.01,275.22
80773,79.38,1.8228,0.6196,105.0,0.455,9.54,314.46
80774,33.57,1.5489,0.5982,45.0,0.8206,54.45,232.38
80775,64.17,1.5911,0.5653,92.0,0.8553,192.15,302.13
80776,48.87,1.2522,0.5643,103.0,0.5569,34.92,291.15
80777,131.31,1.3616,0.6524,101.0,0.5867,23.31,321.3
80778,221.58,1.1761,0.6522,174.0,0.8639,297.27,526.05
80779,18.27,1.5087,0.4814,48.0,0.9121,32.58,329.4
80780,14.49,1.4009,0.5454,31.0,0.4821,8.64,381.69
80781,18.81,2.2486,0.5571,37.0,0.0999,0.72,324.0
80782,6.21,1.513,0.4612,10.0,0.6682,8.91,323.37
80783,406.26,1.7046,0.7827,80.0,0.8787,250.11,421.74
80784,623.25,1.8137,0.7929,151.0,0.8495,358.2,269.64
80785,33.75,1.5598,0.633,58.0,0.7042,31.32,257.85
80786,42.48,2.1617,0.6527,38.0,0.6873,7.29,369.54
80787,27.45,2.4295,0.6599,20.0,0.7039,5.13,327.96
80788,1.98,1.6291,0.4752,16.0,0.6878,6.39,307.17
80789,13.68,1.6382,0.5123,39.0,0.8118,45.27,326.34
80790,6.3,1.3577,0.4746,27.0,0.65,9.18,348.93
80791,179.73,1.4538,0.6455,258.0,0.7535,43.83,269.73
80792,180.36,1.1994,0.6651,189.0,0.8381,22.05,279.18
80793,57.24,1.3985,0.5886,115.0,0.7265,9.18,308.43
80794,88.92,1.9254,0.6375,107.0,0.7948,14.13,647.91
80795,5.76,1.8237,0.4844,16.0,0.7541,25.38,612.18
80796,453.69,1.3981,0.7246,200.0,0.8668,733.59,302.31
80797,128.43,1.3593,0.5843,137.0,0.8888,145.26,3554.19
80798,31.23,1.446,0.4884,69.0,0.9065,75.33,7548.48
80799,269.19,1.2272,0.6708,149.0,0.8952,117.09,6818.4
80800,1373.31,1.534,0.7883,226.0,0.9207,686.88,2465.73
81195,0.9,2.7778,0.6371,1.0,NA,NA,201.51
81196,3.6,7.0,0.6188,7.0,NA,NA,201.33
81197,0.09,7.1429,0.4482,1.0,NA,NA,181.53
81198,0.0,10.0,0.3999,0.0,NA,NA,248.94
81199,0.0,0.0,0.5,0.0,NA,NA,227.7
81200,0.0,0.0,0.2857,0.0,NA,NA,209.97
81201,0.0,6.6667,0.1249,0.0,NA,NA,180.0
81202,0.09,11.1111,0.3287,1.0,0.8928,3.06,268.56
81203,0.54,2.924,0.4956,2.0,0.738,4.41,358.47
81204,11.7,7.6609,0.5868,14.0,0.4829,4.68,686.07
81205,0.0,5.848,0.2405,0.0,0.5,0.27,233.55
81206,6.3,5.2383,0.4754,20.0,0.5833,9.81,231.12
81207,12.51,4.2968,0.4701,41.0,0.8387,1.8,335.07
81208,6.21,4.0272,0.5032,20.0,0.8306,19.98,377.64
81209,4.23,3.9894,0.5692,2.0,NA,NA,244.89
81210,0.0,1.2821,0.1851,0.0,0.674,10.8,203.22
81211,0.0,7.9051,0.2459,0.0,NA,NA,188.73
81212,0.18,4.1358,0.2682,1.0,0.8,0.99,194.13
81213,0.09,2.7355,0.1891,1.0,NA,NA,194.58
81214,27.99,1.5366,0.5062,66.0,0.8009,162.09,671.13
81215,256.86,2.2126,0.7169,120.0,0.75,170.01,223.83
81216,288.54,1.3771,0.665,149.0,0.6295,162.63,139.23
81217,300.51,2.0707,0.7398,96.0,0.6299,155.97,115.11
81218,148.68,2.4933,0.6296,110.0,0.6465,134.73,123.57
81219,336.78,1.7227,0.6975,161.0,0.724,258.75,378.81
81220,367.11,1.8102,0.7036,158.0,0.7063,235.44,370.26
81221,410.49,1.373,0.7187,142.0,0.7325,158.13,418.77
81222,124.47,1.6151,0.5919,133.0,0.774,189.0,542.43
81223,15.12,5.3481,0.6459,18.0,0.4285,0.54,91.98
81224,0.63,5.1282,0.5907,4.0,0.5,0.36,NA
81225,0.0,33.3333,0.5333,0.0,NA,NA,NA
81226,6.48,7.0905,0.4928,23.0,NA,0.09,108.36
81227,4.05,2.37,0.4079,20.0,0.54,8.1,194.49
81228,41.04,1.8404,0.5367,91.0,0.5229,3.51,182.7
81229,26.37,1.5399,0.4707,100.0,-1.0,0.54,225.63
81230,136.35,1.5209,0.5397,242.0,0.4556,26.19,235.62
81231,90.81,1.4962,0.5882,131.0,0.4981,38.07,205.38
81232,11.34,1.409,0.4261,43.0,0.5305,2.7,149.22
81233,14.49,1.1763,0.4292,76.0,0.2998,2.25,203.04
81234,66.51,1.3875,0.5506,144.0,0.3333,0.81,385.47
81235,39.87,1.3042,0.5412,91.0,-1.0,0.81,268.29
81236,9.18,1.7389,0.4777,30.0,0.4926,7.2,244.8
81237,123.57,1.7006,0.6212,135.0,0.8817,246.51,550.8
81238,26.19,1.8258,0.5194,53.0,0.8283,69.3,340.65
81239,42.3,1.7941,0.6055,55.0,0.3724,5.67,426.15
81240,103.05,1.3974,0.6112,121.0,0.4996,26.19,385.92
81241,104.58,1.2707,0.5618,180.0,0.8392,358.38,418.14
81242,292.68,1.4173,0.657,229.0,0.8926,430.2,205.29
81243,496.44,1.6526,0.7199,218.0,0.9082,309.96,248.85
81244,162.54,1.6508,0.6999,95.0,0.9045,331.38,198.54
81245,73.8,1.5214,0.6566,52.0,0.8788,94.77,257.13
81246,18.27,1.4697,0.538,40.0,0.7327,8.82,251.01
81247,412.02,1.6051,0.7979,62.0,0.8308,204.12,305.55
81248,405.18,1.544,0.7815,100.0,0.867,442.08,311.85
81249,131.76,1.681,0.7382,82.0,0.6752,7.65,235.26
81250,98.28,1.7499,0.7006,52.0,0.6012,19.44,260.64
81251,111.06,1.9234,0.6933,100.0,0.7659,49.05,234.09
81252,207.81,1.5819,0.6658,198.0,0.701,80.37,559.8
81253,133.56,1.3744,0.637,162.0,0.6452,28.71,290.88
81254,63.45,1.049,0.592,109.0,0.7239,15.21,298.35
81255,75.69,1.2382,0.5942,173.0,0.8511,79.47,315.36
81256,9.27,1.2336,0.4717,42.0,0.8748,59.49,262.17
81257,27.09,1.6882,0.5962,35.0,0.6,0.99,254.43
81258,47.79,1.2032,0.5592,65.0,0.8879,178.56,340.47
81259,277.2,1.2996,0.6618,169.0,0.8573,1234.26,1129.77
81260,138.96,1.0698,0.5674,144.0,0.8115,111.33,3560.67
81261,35.37,1.062,0.441,133.0,0.8498,111.06,7290.54
81262,99.99,1.3038,0.521,153.0,0.9058,208.8,8164.62
81263,1462.5,1.6299,0.7398,353.0,0.897,386.28,4018.59
81658,73.35,8.9586,0.7195,52.0,NA,NA,216.45
81659,0.09,11.5385,0.4284,1.0,NA,NA,224.91
81660,0.0,0.0,0.4,0.0,NA,NA,154.35
