file,ZCA,thisDate,start_Time,end_Time,errors,btryDead,warnings,buffer,first_btry,last_btry,mean_temp,min_temp,mid_n_temp
F:/2015 ZCA Files/NLH_1/NLH_1_SW_BAT_024/SN314289 2015-07-27 log.csv,a:/SN314289 2015-07-27.zca,2015-07-27,20:12:43,06:46:33,0,NA,0,0,12:00:00,06:44:48,2460.0,2350.0,2438.0
F:/2015 ZCA Files/NLH_1/NLH_1_SW_BAT_024/SN314289 2015-07-28 log.csv,a:/SN314289 2015-07-28.zca,2015-07-28,20:11:46,06:47:28,0,NA,0,0,12:00:00,06:43:49,2138.0,1800.0,1994.0
F:/2015 ZCA Files/NLH_1/NLH_1_SW_BAT_024/SN314289 2015-07-29 log.csv,a:/SN314289 2015-07-29.zca,2015-07-29,20:10:47,06:48:24,0,NA,0,0,12:00:00,06:47:52,1704.0,1425.0,1719.0
F:/2015 ZCA Files/NLH_1/NLH_1_SW_BAT_024/SN314289 2015-07-30 log.csv,a:/SN314289 2015-07-30.zca,2015-07-30,20:09:47,06:49:19,0,NA,0,0,12:00:00,06:46:53,1881.0,1650.0,1850.0
F:/2015 ZCA Files/NLH_1/NLH_1_SW_BAT_024/SN314289 2015-07-31 log.csv,a:/SN314289 2015-07-31.zca,2015-07-31,20:08:45,06:50:15,0,NA,0,0,12:00:00,06:45:50,2117.0,2e3,2175.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-13 log.csv,a:/SN314262 2015-07-13.zca,2015-07-13,20:26:36,06:33:43,0,NA,0,0,19:30:47,06:33:35,2422.0,2150.0,2550.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-14 log.csv,a:/SN314262 2015-07-14.zca,2015-07-14,20:26:02,06:34:30,0,NA,0,0,12:00:00,06:33:02,2468.0,2350.0,2475.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-15 log.csv,a:/SN314262 2015-07-15.zca,2015-07-15,20:25:27,06:35:18,0,NA,0,0,12:00:00,06:32:27,2260.0,2125.0,2331.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-16 log.csv,a:/SN314262 2015-07-16.zca,2015-07-16,20:24:50,06:36:06,0,NA,0,0,12:00:00,06:31:48,2447.0,2225.0,2475.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-17 log.csv,a:/SN314262 2015-07-17.zca,2015-07-17,20:24:11,06:36:56,0,NA,0,0,12:00:00,06:36:10,2532.0,2175.0,2688.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-18 log.csv,a:/SN314262 2015-07-18.zca,2015-07-18,20:23:30,06:37:47,0,NA,0,0,12:00:00,06:35:30,2420.0,2275.0,2419.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-19 log.csv,a:/SN314262 2015-07-19.zca,2015-07-19,20:22:47,06:38:38,0,NA,0,0,12:00:00,06:34:45,2331.0,2250.0,2275.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-20 log.csv,a:/SN314262 2015-07-20.zca,2015-07-20,20:22:02,06:39:30,0,NA,0,0,12:00:00,06:39:04,1964.0,1700.0,1975.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-21 log.csv,a:/SN314262 2015-07-21.zca,2015-07-21,20:21:15,06:40:23,0,NA,0,0,12:00:00,06:38:16,1829.0,1625.0,1856.0
F:/2015 ZCA Files/NLH_2/NLH_2_NE_987A/SN314262 2015-07-22 log.csv,a:/SN314262 2015-07-22.zca,2015-07-22,20:20:27,06:41:16,0,NA,0,0,12:00:00,06:37:28,1959.0,1775.0,2e3
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-13 log.csv,a:/SN314292 2015-07-13.zca,2015-07-13,20:26:58,06:33:56,0,NA,0,0,20:26:58,06:28:55,2339.0,2150.0,2350.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-14 log.csv,a:/SN314292 2015-07-14.zca,2015-07-14,20:26:25,20:26:24,0,NA,0,0,12:00:00,06:33:25,2528.0,2350.0,2544.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-14 log.csv,a:/SN314292 2015-07-14.zca,2015-07-14,20:26:25,06:34:43,0,NA,0,0,12:00:00,06:33:25,2524.0,2350.0,2544.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-15 log.csv,a:/SN314292 2015-07-15.zca,2015-07-15,20:25:50,06:35:31,0,NA,2,2,12:00:00,06:32:48,2320.0,2150.0,2425.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-16 log.csv,a:/SN314292 2015-07-16.zca,2015-07-16,20:25:13,06:36:20,0,NA,0,0,12:00:00,06:32:12,2414.0,2150.0,2494.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-17 log.csv,a:/SN314292 2015-07-17.zca,2015-07-17,20:24:33,06:37:09,0,NA,0,0,12:00:00,06:36:32,2542.0,2175.0,2681.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-18 log.csv,a:/SN314292 2015-07-18.zca,2015-07-18,20:23:52,06:38:00,0,NA,0,0,12:00:00,06:35:52,2431.0,2325.0,2400.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-19 log.csv,a:/SN314292 2015-07-19.zca,2015-07-19,20:23:09,06:38:51,0,NA,0,0,12:00:00,06:35:09,2347.0,2275.0,2275.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-20 log.csv,a:/SN314292 2015-07-20.zca,2015-07-20,20:22:24,06:39:43,0,NA,1,0,12:00:00,06:39:26,2004.0,1700.0,2038.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-21 log.csv,a:/SN314292 2015-07-21.zca,2015-07-21,20:21:38,06:40:36,0,NA,1,0,12:00:00,06:38:40,1871.0,1700.0,1906.0
F:/2015 ZCA Files/NLH_2/NLH_2_NW_994C/SN314292 2015-07-22 log.csv,a:/SN314292 2015-07-22.zca,2015-07-22,20:20:49,06:41:30,0,NA,1,0,12:00:00,06:37:50,2045.0,1825.0,2125.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-13 log.csv,a:/SN314218 2015-07-13.zca,2015-07-13,20:26:23,06:33:49,0,NA,2,0,18:55:10,06:33:24,2268.0,2025.0,2306.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-14 log.csv,a:/SN314218 2015-07-14.zca,2015-07-14,20:25:50,06:34:36,0,NA,0,0,12:00:00,06:32:49,2465.0,2350.0,2400.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-15 log.csv,a:/SN314218 2015-07-15.zca,2015-07-15,20:25:15,20:25:13,0,NA,0,0,12:00:00,06:32:14,2274.0,2100.0,2381.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-15 log.csv,a:/SN314218 2015-07-15.zca,2015-07-15,20:25:15,06:35:23,0,NA,0,0,12:00:00,06:32:14,2271.0,2100.0,2381.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-16 log.csv,a:/SN314218 2015-07-16.zca,2015-07-16,20:24:38,06:36:12,0,NA,0,0,12:00:00,06:31:38,2372.0,2150.0,2425.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-17 log.csv,a:/SN314218 2015-07-17.zca,2015-07-17,20:23:59,20:23:58,0,NA,0,0,12:00:00,06:36:00,2559.0,2200.0,2706.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-17 log.csv,a:/SN314218 2015-07-17.zca,2015-07-17,20:23:59,06:37:02,0,NA,0,0,12:00:00,06:36:00,2547.0,2200.0,2706.0
